timestamp,location,temperature,humidity,pressure,wind_speed,wind_deg,clouds,visibility,weather_description,uv_index,aqi,hour,day_of_week,month,aqi_lag_1
2024-12-23 00:13:00.019211,New York,-6.16,43,1031,6.69,320,0,10000,clear sky,,2,0,0,12,2.0
2024-12-23 00:13:00.660383,Los Angeles,16.73,67,1020,2.06,200,0,9656,haze,,5,0,0,12,5.0
2024-12-23 01:15:02.011962,New York,-5.96,44,1031,7.72,320,0,10000,clear sky,,2,1,0,12,2.0
2024-12-23 01:15:02.760055,Los Angeles,17.63,67,1018,2.57,210,0,10000,haze,,5,1,0,12,5.0
2024-12-23 02:13:00.195786,New York,-6.19,44,1032,5.66,350,0,10000,clear sky,,2,2,0,12,2.0
2024-12-23 02:13:00.855458,Los Angeles,18.23,64,1017,2.57,240,0,10000,haze,,5,2,0,12,5.0
2024-12-23 11:29:09.892188,New York,-10.02,58,1036,6.26,101,0,10000,clear sky,,1,11,0,12,2.0
2024-12-23 11:29:10.548801,Los Angeles,13.91,86,1019,2.57,110,100,10000,mist,,5,11,0,12,5.0
2024-12-23 12:13:01.135215,New York,-10.37,59,1037,5.66,10,0,10000,clear sky,,1,12,0,12,1.0
2024-12-23 12:13:01.838391,Los Angeles,13.79,86,1019,3.09,100,100,9656,mist,,5,12,0,12,5.0
2024-12-23 13:13:00.254295,New York,-10.23,60,1037,5.36,105,0,10000,clear sky,,1,13,0,12,1.0
2024-12-23 13:13:00.935523,Los Angeles,13.29,88,1019,2.57,100,100,6437,mist,,5,13,0,12,5.0
